operation,iteration_number,file_size_label,cpu_percent,memory_used_mb,process_time_sec,encrypted_size_bytes,entropy
decryption,17,2MB file,11.1,4.000795364379883,0.015466900018509477,2097200,0
decryption,18,2MB file,7.7,4.000795364379883,0.01684570001089014,2097200,0
decryption,19,2MB file,1.0,4.000795364379883,0.015567999973427504,2097200,0
decryption,20,2MB file,15.6,4.000795364379883,0.015263799985405058,2097200,0
decryption,21,2MB file,8.0,4.000795364379883,0.01530929998261854,2097200,0
decryption,22,2MB file,16.7,4.000795364379883,0.015411300002597272,2097200,0
decryption,23,2MB file,1.0,4.000795364379883,0.01617930000065826,2097200,0
decryption,24,2MB file,12.9,4.000795364379883,0.015889900008914992,2097200,0
decryption,25,2MB file,9.1,4.000795364379883,0.0156651999859605,2097200,0
decryption,26,2MB file,6.2,4.000795364379883,0.015635799994925037,2097200,0
decryption,27,2MB file,4.2,4.000795364379883,0.015072200010763481,2097200,0
decryption,28,2MB file,3.8,4.000795364379883,0.015197100001387298,2097200,0
decryption,29,2MB file,14.8,4.000795364379883,0.015322399995056912,2097200,0
decryption,30,2MB file,23.1,4.000795364379883,0.015680300013627857,2097200,0
decryption,31,2MB file,1.0,4.000795364379883,0.015824500005692244,2097200,0
decryption,32,2MB file,15.0,4.000795364379883,0.017325099994195625,2097200,0
decryption,33,2MB file,12.9,4.000795364379883,0.015287799993529916,2097200,0
decryption,34,2MB file,1.0,4.000795364379883,0.015480400004889816,2097200,0
decryption,35,2MB file,9.7,4.000795364379883,0.015720600000349805,2097200,0
decryption,36,2MB file,8.0,4.000795364379883,0.01578970000264235,2097200,0
decryption,37,2MB file,4.2,4.000795364379883,0.015586299996357411,2097200,0
decryption,38,2MB file,1.0,4.000795364379883,0.01499219998368062,2097200,0
decryption,39,2MB file,14.3,4.000795364379883,0.015175200009252876,2097200,0
decryption,40,2MB file,3.2,4.000795364379883,0.015735699998913333,2097200,0
decryption,41,2MB file,7.4,4.000795364379883,0.015448300022399053,2097200,0
decryption,42,2MB file,6.9,4.000795364379883,0.016234899987466633,2097200,0
decryption,43,2MB file,1.0,4.000795364379883,0.015561900014290586,2097200,0
decryption,44,2MB file,3.7,4.000795364379883,0.015116299997316673,2097200,0
decryption,45,2MB file,3.7,4.000795364379883,0.014948399999411777,2097200,0
decryption,46,2MB file,3.8,4.000795364379883,0.015869900002144277,2097200,0
decryption,47,2MB file,3.4,4.000795364379883,0.01577330002328381,2097200,0
decryption,48,2MB file,3.8,4.000795364379883,0.016720699990401044,2097200,0
decryption,49,2MB file,1.0,4.000795364379883,0.015559999999823049,2097200,0
decryption,50,2MB file,4.0,4.000795364379883,0.0149671999970451,2097200,0
