operation,iteration_number,file_size_label,cpu_percent,memory_used_mb,process_time_sec,encrypted_size_bytes,entropy
encryption,49,500KB file,13.0,1.6283597946166992,0.005394299980252981,512008,7.522200693543046
encryption,50,500KB file,33.3,1.6283597946166992,0.005732899997383356,512008,7.522200693543046
encryption,51,500KB file,29.2,1.6283597946166992,0.00599010000587441,512008,7.522200693543046
encryption,52,500KB file,23.1,1.6283597946166992,0.005549699999392033,512008,7.522200693543046
encryption,53,500KB file,20.7,1.6283597946166992,0.0058738000225275755,512008,7.522200693543046
encryption,54,500KB file,3.4,1.6283597946166992,0.005992199992761016,512008,7.522200693543046
encryption,55,500KB file,23.1,1.6283597946166992,0.005573000002186745,512008,7.522200693543046
encryption,56,500KB file,1.0,1.6283597946166992,0.00601819998701103,512008,7.522200693543046
encryption,57,500KB file,16.0,1.6283597946166992,0.006048200011719018,512008,7.522200693543046
encryption,58,500KB file,7.7,1.6283597946166992,0.005876299983356148,512008,7.522200693543046
encryption,59,500KB file,8.3,1.6283597946166992,0.006079999991925433,512008,7.522200693543046
encryption,60,500KB file,7.1,1.6283597946166992,0.005942300020251423,512008,7.522200693543046
encryption,61,500KB file,8.3,1.6283597946166992,0.005708500015316531,512008,7.522200693543046
encryption,62,500KB file,7.1,1.6283597946166992,0.005990999983623624,512008,7.522200693543046
encryption,63,500KB file,3.3,1.6283597946166992,0.005900300020584837,512008,7.522200693543046
encryption,64,500KB file,12.5,1.6283597946166992,0.006488399987574667,512008,7.522200693543046
encryption,65,500KB file,7.7,1.6283597946166992,0.005965699994703755,512008,7.522200693543046
encryption,66,500KB file,1.0,1.6283597946166992,0.0058108000084757805,512008,7.522200693543046
encryption,67,500KB file,4.0,1.6283597946166992,0.005855700001120567,512008,7.522200693543046
encryption,68,500KB file,9.5,1.6283597946166992,0.006090500013669953,512008,7.522200693543046
encryption,69,500KB file,7.4,1.6283597946166992,0.0057594999962020665,512008,7.522200693543046
encryption,70,500KB file,7.1,1.6283597946166992,0.005884500016691163,512008,7.522200693543046
encryption,71,500KB file,4.2,1.6283597946166992,0.005923199991229922,512008,7.522200693543046
encryption,72,500KB file,16.1,1.6283597946166992,0.005771700001787394,512008,7.522200693543046
encryption,73,500KB file,6.2,1.6283597946166992,0.0054549000051338226,512008,7.522200693543046
encryption,74,500KB file,6.9,1.6283597946166992,0.005847400025231764,512008,7.522200693543046
encryption,75,500KB file,3.2,1.6283597946166992,0.00580939999781549,512008,7.522200693543046
