operation,iteration_number,file_size_label,cpu_percent,memory_used_mb,process_time_sec,encrypted_size_bytes
encryption,1,2MB file,45.5,6.667449951171875,0.018448599992552772,2796284
encryption,2,2MB file,4.0,6.667449951171875,0.02008180000120774,2796284
encryption,3,2MB file,29.2,6.667449951171875,0.017448200000217184,2796284
encryption,4,2MB file,7.7,6.667449951171875,0.017569399991771206,2796284
encryption,5,2MB file,25.9,6.667449951171875,0.017837899998994544,2796284
encryption,6,2MB file,28.6,6.667449951171875,0.017494100000476465,2796284
encryption,7,2MB file,39.4,6.667449951171875,0.017892699979711324,2796284
encryption,8,2MB file,17.9,6.667449951171875,0.018390200013527647,2796284
encryption,9,2MB file,45.8,6.667449951171875,0.025027000025147572,2796284
encryption,10,2MB file,44.8,6.667449951171875,0.018325300014112145,2796284
encryption,11,2MB file,32.3,6.667449951171875,0.02237819999572821,2796284
encryption,12,2MB file,38.5,6.667449951171875,0.01906370001961477,2796284
encryption,13,2MB file,3.8,6.667449951171875,0.017958099982934073,2796284
encryption,14,2MB file,25.0,6.667449951171875,0.018647799995960668,2796284
encryption,15,2MB file,44.0,6.667449951171875,0.020728200004668906,2796284
encryption,16,2MB file,54.2,6.667449951171875,0.020927899982780218,2796284
encryption,17,2MB file,10.3,6.667449951171875,0.017114599992055446,2796284
encryption,18,2MB file,30.3,6.667449951171875,0.019618699996499345,2796284
encryption,19,2MB file,16.0,6.667449951171875,0.01872900000307709,2796284
encryption,20,2MB file,3.3,6.667449951171875,0.01698350001242943,2796284
encryption,21,2MB file,3.7,6.667449951171875,0.020261400000890717,2796284
encryption,22,2MB file,33.3,6.667449951171875,0.020288699975935742,2796284
encryption,23,2MB file,10.0,6.667449951171875,0.016722600004868582,2796284
encryption,24,2MB file,22.2,6.667449951171875,0.019483999989461154,2796284
encryption,25,2MB file,57.7,6.667449951171875,0.017725099984090775,2796284
encryption,26,2MB file,22.2,6.667449951171875,0.017369199980748817,2796284
encryption,27,2MB file,12.1,6.667449951171875,0.017915900010848418,2796284
encryption,28,2MB file,4.2,6.667449951171875,0.02122400002554059,2796284
encryption,29,2MB file,16.0,6.667449951171875,0.01817500000470318,2796284
encryption,30,2MB file,16.0,6.667449951171875,0.01920480001717806,2796284
encryption,31,2MB file,16.7,6.667449951171875,0.016827399987960234,2796284
encryption,32,2MB file,16.7,6.667449951171875,0.020590900006936863,2796284
encryption,33,2MB file,8.3,6.667449951171875,0.01746980001917109,2796284
encryption,34,2MB file,8.3,6.667449951171875,0.021459200012031943,2796284
encryption,35,2MB file,13.8,6.667449951171875,0.01670960002229549,2796284
encryption,36,2MB file,25.0,6.667449951171875,0.017856599995866418,2796284
encryption,37,2MB file,20.0,6.667449951171875,0.01655080000637099,2796284
encryption,38,2MB file,21.9,6.667449951171875,0.017254200007300824,2796284
encryption,39,2MB file,20.0,6.667449951171875,0.017452100000809878,2796284
encryption,40,2MB file,8.3,6.667449951171875,0.019303400011267513,2796284
encryption,41,2MB file,12.0,6.667449951171875,0.019010100018931553,2796284
encryption,42,2MB file,28.1,6.667449951171875,0.019265999988419935,2796284
encryption,43,2MB file,12.5,6.667449951171875,0.020266500010620803,2796284
