operation,iteration_number,file_size_label,cpu_percent,memory_used_mb,process_time_sec,encrypted_size_bytes,entropy
encryption,1,500KB file,7.4,1.6355228424072266,0.0069008999853394926,512008,7.522200693543046
encryption,2,500KB file,16.7,1.6293363571166992,0.006283199996687472,512008,7.522200693543046
encryption,3,500KB file,4.2,1.6291608810424805,0.006177600007504225,512008,7.522200693543046
encryption,4,500KB file,25.0,1.629084587097168,0.008418999990681186,512008,7.522200693543046
encryption,5,500KB file,29.2,1.6290311813354492,0.006982100021559745,512008,7.522200693543046
encryption,6,500KB file,15.6,1.6289777755737305,0.0066577999969013035,512008,7.522200693543046
encryption,7,500KB file,4.0,1.6289167404174805,0.006390700000338256,512008,7.522200693543046
encryption,8,500KB file,61.8,1.628840446472168,0.012764699989929795,512008,7.522200693543046
encryption,9,500KB file,12.0,1.6287870407104492,0.008931499993195757,512008,7.522200693543046
encryption,10,500KB file,4.2,1.6287336349487305,0.007749300013529137,512008,7.522200693543046
encryption,11,500KB file,28.1,1.6286802291870117,0.006863199989311397,512008,7.522200693543046
encryption,12,500KB file,8.3,1.6286039352416992,0.0071459000173490494,512008,7.522200693543046
encryption,13,500KB file,3.6,1.6285505294799805,0.007822100014891475,512008,7.522200693543046
encryption,14,500KB file,7.4,1.628504753112793,0.007370700011961162,512008,7.522200693543046
encryption,15,500KB file,4.0,1.6284666061401367,0.006234000000404194,512008,7.522200693543046
encryption,16,500KB file,3.7,1.6284589767456055,0.00591910001821816,512008,7.522200693543046
encryption,17,500KB file,8.3,1.6284513473510742,0.006326300004730001,512008,7.522200693543046
encryption,18,500KB file,1.0,1.628443717956543,0.006077800004277378,512008,7.522200693543046
encryption,19,500KB file,43.3,1.6284360885620117,0.0058182000066153705,512008,7.522200693543046
encryption,20,500KB file,4.2,1.6284284591674805,0.005960899987258017,512008,7.522200693543046
encryption,21,500KB file,8.0,1.6284208297729492,0.006475000001955777,512008,7.522200693543046
encryption,22,500KB file,24.0,1.628413200378418,0.006148799991933629,512008,7.522200693543046
